BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
7976.85;251.96;0.08;0.06;86.67
7958.37;256.08;0.08;0.06;88.45
7665.8;244.55;0.08;0.06;83.71
7861.81;244.65;0.08;0.06;84.84
7977.24;248.55;0.08;0.06;85.35
8037.63;250.82;0.08;0.06;86.52
8631.08;266.12;0.09;0.06;91.84
8816.03;273.41;0.09;0.06;97.95
8726.98;271.23;0.09;0.06;93.12
8650.68;268.79;0.09;0.06;92.82
8310.89;255.38;0.08;0.06;94.11
8575.65;268.13;0.09;0.06;92.93
8554.26;264.73;0.09;0.05;94.69
8743.71;269.94;0.1;0.05;89.44
8173.63;251.75;0.09;0.05;83.21
7683.64;240.24;0.08;0.06;85.14
7812.45;246.83;0.08;0.06;87.77
7821.12;249.97;0.08;0.06;88.25
8036.11;250.64;0.09;0.06;87.6
7942.54;244.63;0.08;0.06;83.63
7668.03;232.04;0.08;0.06;86.81
8002.73;247.25;0.09;0.06;86.65
7897.98;245.09;0.09;0.06;90.51
8145.06;260.57;0.1;0.06;90.07
8227.63;255.12;0.09;0.06;90.95
8671.51;263.93;0.09;0.06;94.55
8818.61;268.11;0.09;0.06;95.56
8978.77;269.07;0.09;0.06;97.63
9312.87;273.12;0.09;0.06;97.34
9094.02;264.79;0.09;0.06;100.86
9285.93;269.15;0.09;0.06;105.79
9548.31;272.33;0.09;0.06;109.17
10118.36;294.48;0.09;0.06;115.02
10704.92;310.65;0.09;0.06;115.53
10846.13;307.95;0.1;0.06;117.6
11045.55;311.07;0.1;0.05;112.91
11808.42;318.64;0.1;0.04;104.27
12996.12;337.34;0.1;0.04;95.14
11178.68;295.84;0.09;0.05;101.23
12352.2;309.95;0.09;0.05;100.15
11972.56;321.43;0.09;0.05;88.28
10888.1;292.84;0.08;0.05;88.92
10639.05;295.26;0.08;0.05;86.19
10822.76;290.96;0.08;0.06;90.37
11975.64;304.17;0.08;0.05;87.96
11229.61;285.22;0.08;0.05;90.04
10987.25;287.99;0.08;0.05;94.58
11279.48;289.58;0.08;0.05;106.89
11436.43;305.34;0.08;0.05;100.91
12260.28;312.47;0.08;0.05;98.91
12544.17;307.78;0.08;0.05;95.18
12166.4;290.01;0.07;0.05;89.35
11385.06;268.64;0.07;0.05;98.51
11804.56;275.81;0.07;0.04;93.5
11418.51;270.31;0.07;0.04;85.14
10285.46;227.12;0.06;0.04;90.41
10911.35;230.18;0.06;0.04;75.74
9538.83;199.94;0.05;0.04;76.99
9657.3;210.84;0.05;0.05;84.17
10636.16;226.3;0.06;0.05;82.02
10536.57;221.11;0.06;0.04;84.8
10774.28;228.96;0.06;0.05;83.79
10607.46;226.15;0.06;0.04;83.48
10343.32;217.65;0.06;0.04;81.3
9936.38;213.5;0.06;0.04;80.44
9799.31;217.2;0.06;0.04;80.68
9878.23;219.49;0.06;0.04;79.9
9846;219.58;0.06;0.04;78.61
9447.68;206.53;0.06;0.04;80.07
